DATE,PERMNO,SHRCD,EXCHCD,SICCD,DLRETX,DLRET,SHROUT,PRC,VOL,RET,RETX
20011130,11850,11,1,2911,,,6840530,37.40000,2415837,-0.046134,-0.051964
20011231,11850,11,1,2911,,,6840530,39.30000,2394474,0.050802,0.050802
20020131,11850,11,1,2911,,,6840530,39.05000,1997333,-0.006361,-0.006361
20020228,11850,11,1,2911,,,6840530,41.30000,2011085,0.063508,0.057618
20020328,11850,11,1,2911,,,6840530,43.83000,2210537,0.061259,0.061259
20020430,11850,11,1,2911,,,6793172,40.17000,2413965,-0.083505,-0.083505
20020531,11850,11,1,2911,,,6782021,39.93000,2145225,-0.000249,-0.005975
20020628,11850,11,1,2911,,,6782021,40.92000,2342775,0.024793,0.024793
20020731,11850,11,1,2911,,,6782021,36.76000,4198746,-0.101662,-0.101662
20020830,11850,11,1,2911,,,6757441,35.45000,2560172,-0.029380,-0.035636
20020930,11850,11,1,2911,,,6757441,31.90000,2375303,-0.100141,-0.100141
20021031,11850,11,1,2911,,,6757441,33.66000,3257212,0.055172,0.055172
20021129,11850,11,1,2911,,,6728898,34.80000,2195210,0.040701,0.033868
20021231,11850,11,1,2911,,,6728898,34.94000,2459601,0.004023,0.004023
20030131,11850,11,1,2911,,,6700000,34.15000,2685613,-0.022610,-0.022610
20030228,11850,11,1,2911,,,6700000,34.02000,2206165,0.002928,-0.003807
20030331,11850,11,1,2911,,,6689882,34.95000,2711439,0.027337,0.027337
20030430,11850,11,1,2911,,,6691464,35.20000,2258480,0.007153,0.007153
20030530,11850,11,1,2911,,,6679391,36.40000,2420389,0.041193,0.034091
20030630,11850,11,1,2911,,,6679391,35.91000,2503935,-0.013462,-0.013462
20030731,11850,11,1,2911,,,6679391,35.58000,2610712,-0.009190,-0.009190
20030829,11850,11,1,2911,,,6636855,37.70000,2128503,0.066610,0.059584
20030930,11850,11,1,2911,,,6636855,36.60000,2243683,-0.029178,-0.029178
20031031,11850,11,1,2911,,,6636855,36.58000,2561947,-0.000546,-0.000546
20031128,11850,11,1,2911,,,6609800,36.20000,2248128,-0.003554,-0.010388
20031231,11850,11,1,2911,,,6609800,41.00000,2581145,0.132597,0.132597
20040130,11850,11,1,2911,,,6568000,40.79000,2386818,-0.005122,-0.005122
20040227,11850,11,1,2911,,,6568000,42.17000,1996605,0.039961,0.033832
